layer_name,layer_type,params
conv5_block8_1_conv,Conv2D,94208
conv5_block8_1_bn,BatchNormalization,512
conv5_block8_1_relu,Activation,0
conv5_block8_2_conv,Conv2D,36864
conv5_block8_concat,Concatenate,0
conv5_block9_0_bn,BatchNormalization,3072
conv5_block9_0_relu,Activation,0
conv5_block9_1_conv,Conv2D,98304
conv5_block9_1_bn,BatchNormalization,512
conv5_block9_1_relu,Activation,0
conv5_block9_2_conv,Conv2D,36864
conv5_block9_concat,Concatenate,0
conv5_block10_0_bn,BatchNormalization,3200
conv5_block10_0_relu,Activation,0
conv5_block10_1_conv,Conv2D,102400
conv5_block10_1_bn,BatchNormalization,512
conv5_block10_1_relu,Activation,0
conv5_block10_2_conv,Conv2D,36864
conv5_block10_concat,Concatenate,0
conv5_block11_0_bn,BatchNormalization,3328
conv5_block11_0_relu,Activation,0
conv5_block11_1_conv,Conv2D,106496
conv5_block11_1_bn,BatchNormalization,512
conv5_block11_1_relu,Activation,0
conv5_block11_2_conv,Conv2D,36864
conv5_block11_concat,Concatenate,0
conv5_block12_0_bn,BatchNormalization,3456
conv5_block12_0_relu,Activation,0
conv5_block12_1_conv,Conv2D,110592
conv5_block12_1_bn,BatchNormalization,512
conv5_block12_1_relu,Activation,0
conv5_block12_2_conv,Conv2D,36864
conv5_block12_concat,Concatenate,0
conv5_block13_0_bn,BatchNormalization,3584
conv5_block13_0_relu,Activation,0
conv5_block13_1_conv,Conv2D,114688
conv5_block13_1_bn,BatchNormalization,512
conv5_block13_1_relu,Activation,0
conv5_block13_2_conv,Conv2D,36864
conv5_block13_concat,Concatenate,0
conv5_block14_0_bn,BatchNormalization,3712
conv5_block14_0_relu,Activation,0
conv5_block14_1_conv,Conv2D,118784
conv5_block14_1_bn,BatchNormalization,512
conv5_block14_1_relu,Activation,0
conv5_block14_2_conv,Conv2D,36864
conv5_block14_concat,Concatenate,0
conv5_block15_0_bn,BatchNormalization,3840
conv5_block15_0_relu,Activation,0
conv5_block15_1_conv,Conv2D,122880
conv5_block15_1_bn,BatchNormalization,512
conv5_block15_1_relu,Activation,0
